series,season,episode,episode_code,data_messa_in_onda
Braccialetti Rossi,2,2,Braccialetti RossiS02E02,21/01/2013
Braccialetti Rossi,2,5,Braccialetti RossiS02E05,04/02/2013
Crimini bianchi,1,7,Crimini bianchiS01E07,14/06/2009
Crimini bianchi,1,9,Crimini bianchiS01E09,21/06/2009
Cuori,1,12,CuoriS01E12,16/11/2021
Cuori,2,12,CuoriS02E12,05/11/2023
Doc Nelle tue mani,1,8,Doc Nelle tue maniS01E08,16/04/2020
Doc Nelle tue mani,2,10,Doc Nelle tue maniS02E10,17/02/2022
Doc Nelle tue mani,3,3,Doc Nelle Tue ManiS03E03,18/01/2024
Doc Nelle tue mani,3,9,Doc Nelle Tue ManiS03E09,15/02/2024
Doc Nelle tue mani,3,10,Doc Nelle Tue ManiS03E10,15/02/2024
Doc Nelle tue mani,3,11,Doc Nelle Tue ManiS03E11,22/02/2024
Doc Nelle tue mani,3,13,Doc Nelle Tue ManiS03E13,29/02/2024
L allieva,1,6,L allievaS01E06,17/10/2016
L allieva,1,9,L allievaS01E09,24/10/2016
L allieva,1,11,L allievaS01E11,31/10/2016
L allieva,2,1,L allievaS02E01,25/10/2018
L allieva,2,6,L allievaS02E06,08/11/2018
L allieva,2,8,L allievaS02E08,15/11/2018
L allieva,2,9,L allievaS02E09,22/11/2018
L allieva,2,10,L allievaS02E10,22/11/2018
L allieva,3,1,L allievaS03E01,27/09/2020
L allieva,3,3,L allievaS03E03,04/10/2020
L allieva,3,9,L allievaS03E09,01/11/2020
La dottoressa Gio,1,1,La dottoressa GioS01E01,25/10/1997
La dottoressa Gio,1,2,La dottoressa GioS01E02,01/11/1997
La dottoressa Gio,1,3,La dottoressa GioS01E03,08/11/1997
La dottoressa Gio,1,4,La dottoressa GioS01E04,11/11/1997
La dottoressa Gio,1,5,La dottoressa GioS01E05,25/11/1997
La dottoressa Gio,2,4,La dottoressa GioS02E04,04/12/1998
La dottoressa Gio,2,6,La dottoressa GioS02E06,13/12/1998
La dottoressa Gio,3,3,La dottoressa GioS03E03,20/01/2019
La linea verticale,1,1,La linea verticaleS01E01,06/01/2018
La linea verticale,1,3,La linea verticaleS01E03,06/01/2018
La linea verticale,1,6,La linea verticaleS01E06,06/01/2018
Lea Un Nuovo giorno,1,2,Lea Un Nuovo giornoS01E02,08/02/2022
Lea Un Nuovo giorno,1,3,Lea Un Nuovo giornoS01E03,15/02/2022
Lea Un Nuovo giorno,1,5,Lea Un Nuovo giornoS01E05,22/02/2022
Medicina generale,1,3,Medicina generaleS01E03,04/03/2007
Medicina generale,1,5,Medicina generaleS01E05,18/03/2007
Medicina generale,1,8,Medicina generaleS01E08,01/04/2007
Medicina generale,1,10,Medicina generaleS01E10,14/05/2008
Medicina generale,1,12,Medicina generaleS01E12,01/06/2008
Medicina generale,1,13,Medicina generaleS01E13,02/06/2008
Medicina generale,2,3,Medicina generaleS02E03,02/12/2009
Medicina generale,2,6,Medicina generaleS02E06,08/12/2009
Medicina generale,2,8,Medicina generaleS02E08,23/12/2009
Medicina generale,2,11,Medicina generaleS02E11,06/01/2010
Medicina generale,2,12,Medicina generaleS02E12,06/01/2010
Medicina generale,2,14,Medicina generaleS02E14,13/01/2010
Medicina generale,2,15,Medicina generaleS02E15,28/01/2010
Mental,1,1,MentalS01E01,18/12/2020
Mental,1,4,MentalS01E04,18/12/2020
Nati ieri,1,3,Nati ieriS01E03,27/12/2006
Nati ieri,1,6,Nati ieriS01E06,03/01/2007
Nati ieri,1,9,Nati ieriS01E09,17/01/2007
Nati ieri,1,13,Nati ieriS01E13,29/01/2007
Nati ieri,1,15,Nati ieriS01E15,05/02/2007
Nati ieri,1,16,Nati ieriS01E16,05/02/2007
Nati ieri,1,19,Nati ieriS01E19,15/06/2007
Oltre la soglia,1,4,Oltre la sogliaS01E04,27/11/2019
Terapia d urgenza,1,2,Terapia d urgenzaS01E02,05/09/2008
Terapia d urgenza,1,7,Terapia d urgenzaS01E07,10/10/2008
Terapia d urgenza,1,10,Terapia d urgenzaS01E10,03/07/2009
Terapia d urgenza,1,12,Terapia d urgenzaS01E12,17/07/2009
Terapia d urgenza,1,16,Terapia d urgenzaS01E16,27/08/2009
