series,season,episode,episode_code,data_messa_in_onda
CM,1,4,CMS01E04,08/12/2015
CM,1,6,CMS01E06,19/01/2016
CM,2,4,CMS02E04,13/10/2016
CM,2,9,CMS02E09,05/01/2017
CM,3,1,CMS03E01,09/08/2019
CM,3,5,CMS03E05,02/01/2018
CM,3,6,CMS03E06,09/01/2018
CM,3,12,CMS03E12,20/03/2018
CM,4,4,CMS04E04,17/10/2018
CM,4,15,CMS04E15,20/02/2019
CM,5,4,CMS05E04,16/10/2019
CM,5,6,CMS05E06,30/10/2019
CM,5,15,CMS05E15,26/02/2020
CM,6,1,CMS06E01,17/02/2021
CM,6,2,CMS06E02,24/02/2021
CM,6,5,CMS06E05,17/03/2021
CM,6,10,CMS06E10,12/10/2021
CM,6,13,CMS06E13,24/10/2021
CM,6,16,CMS06E16,09/11/2021
CM,7,1,CMS07E01,16/11/2021
CM,7,4,CMS07E04,07/12/2021
CM,7,11,CMS07E11,25/01/2022
CM,7,14,CMS07E14,07/06/2022
CM,7,19,CMS07E19,12/07/2022
CM,8,8,CMS08E08,16/11/2022
CM,8,11,CMS08E11,11/01/2023
CM,8,12,CMS08E12,18/01/2023
CM,8,16,CMS08E16,22/03/2023
CM,9,2,CMS09E02,09/04/2024
CM,10,3,CMS10E03,18/12/2024
ER,1,1,ERS01E01,19/09/1994
ER,1,5,ERS01E05,13/10/1994
ER,1,6,ERS01E06,20/10/1994
ER,1,7,ERS01E07,03/11/1994
ER,1,8,ERS01E08,10/11/1994
ER,1,9,ERS01E09,17/11/1994
ER,1,10,ERS01E10,08/12/1994
ER,1,11,ERS01E11,15/12/1994
ER,1,12,ERS01E12,05/01/1995
ER,1,13,ERS01E13,12/01/1995
ER,1,17,ERS01E17,16/02/1995
ER,1,21,ERS01E21,06/04/1995
ER,2,2,ERS02E02,28/09/1995
ER,2,10,ERS02E10,14/12/1995
ER,2,11,ERS02E11,04/01/1996
ER,2,14,ERS02E14,08/02/1996
ER,2,15,ERS02E15,15/02/1996
ER,2,18,ERS02E18,04/04/1996
ER,2,21,ERS02E21,09/05/1996
ER,3,1,ERS03E01,26/09/1996
ER,3,5,ERS03E05,31/10/1996
ER,3,8,ERS03E08,21/11/1996
ER,3,10,ERS03E10,19/12/1996
ER,3,11,ERS03E11,16/01/1997
ER,3,12,ERS03E12,23/01/1997
ER,3,14,ERS03E14,06/02/1997
ER,3,16,ERS03E16,20/02/1997
ER,3,17,ERS03E17,10/04/1997
ER,3,20,ERS03E20,01/05/1997
ER,3,22,ERS03E22,15/05/1997
ER,4,3,ERS04E03,09/10/1997
ER,4,5,ERS04E05,30/10/1997
ER,4,6,ERS04E06,06/11/1997
ER,4,9,ERS04E09,11/12/1997
ER,4,10,ERS04E10,18/12/1997
ER,4,11,ERS04E11,08/01/1998
ER,4,12,ERS04E12,15/01/1998
ER,4,16,ERS04E16,05/03/1998
ER,4,17,ERS04E17,09/04/1998
ER,4,21,ERS04E21,07/05/1998
ER,4,22,ERS04E22,14/05/1998
ER,5,2,ERS05E02,01/10/1998
ER,5,3,ERS05E03,08/10/1998
ER,5,4,ERS05E04,15/10/1998
ER,5,6,ERS05E06,05/11/1998
ER,5,8,ERS05E08,19/11/1998
ER,5,9,ERS05E09,10/12/1998
ER,5,10,ERS05E10,17/12/1998
ER,5,12,ERS05E12,21/01/1999
ER,5,15,ERS05E15,18/02/1999
ER,5,16,ERS05E16,25/02/1999
ER,5,17,ERS05E17,25/03/1999
ER,5,18,ERS05E18,08/04/1999
ER,5,19,ERS05E19,29/04/1999
ER,5,22,ERS05E22,20/05/1999
ER,6,1,ERS06E01,30/09/1999
ER,6,2,ERS06E02,07/10/1999
ER,6,3,ERS06E03,14/10/1999
ER,6,5,ERS06E05,04/11/1999
ER,6,8,ERS06E08,25/11/1999
ER,6,14,ERS06E14,17/02/2000
ER,6,18,ERS06E18,13/04/2000
ER,6,20,ERS06E20,04/05/2000
ER,6,22,ERS06E22,18/05/2000
ER,7,1,ERS07E01,12/10/2000
ER,7,3,ERS07E03,26/10/2000
ER,7,5,ERS07E05,09/11/2000
ER,7,6,ERS07E06,16/11/2000
ER,7,7,ERS07E07,23/11/2000
ER,7,8,ERS07E08,07/12/2000
ER,7,9,ERS07E09,14/12/2000
ER,7,11,ERS07E11,11/01/2001
ER,7,12,ERS07E12,01/02/2001
ER,7,14,ERS07E14,15/02/2001
ER,7,17,ERS07E17,29/03/2001
ER,8,3,ERS08E03,11/10/2001
ER,8,5,ERS08E05,25/10/2001
ER,8,12,ERS08E12,17/01/2002
ER,8,13,ERS08E13,31/01/2002
ER,8,16,ERS08E16,07/03/2002
ER,8,22,ERS08E22,16/05/2002
ER,9,1,ERS09E01,26/09/2002
ER,9,4,ERS09E04,17/10/2002
ER,9,6,ERS09E06,07/11/2002
ER,9,7,ERS09E07,14/11/2002
ER,9,11,ERS09E11,09/01/2003
ER,9,13,ERS09E13,30/01/2003
ER,9,14,ERS09E14,06/02/2003
ER,9,15,ERS09E15,13/02/2003
ER,9,16,ERS09E16,20/02/2003
ER,9,17,ERS09E17,13/03/2003
ER,9,18,ERS09E18,03/04/2003
ER,9,20,ERS09E20,01/05/2003
ER,9,22,ERS09E22,15/05/2003
ER,10,1,ERS10E01,25/09/2003
ER,10,2,ERS10E02,02/10/2003
ER,10,4,ERS10E04,23/10/2003
ER,10,5,ERS10E05,30/10/2003
ER,10,6,ERS10E06,06/11/2003
ER,10,7,ERS10E07,13/11/2003
ER,10,8,ERS10E08,20/11/2003
ER,10,9,ERS10E09,04/12/2003
ER,10,10,ERS10E10,11/12/2003
ER,10,14,ERS10E14,12/02/2004
ER,10,16,ERS10E16,26/02/2004
ER,10,18,ERS10E18,08/04/2004
ER,10,19,ERS10E19,22/04/2004
ER,10,21,ERS10E21,06/05/2004
ER,10,22,ERS10E22,13/05/2004
ER,11,2,ERS11E02,07/10/2004
ER,11,3,ERS11E03,14/10/2004
ER,11,9,ERS11E09,09/12/2004
ER,11,10,ERS11E10,13/01/2005
ER,11,13,ERS11E13,03/02/2005
ER,11,15,ERS11E15,17/02/2005
ER,11,16,ERS11E16,24/02/2005
ER,11,17,ERS11E17,24/03/2005
ER,11,18,ERS11E18,21/04/2005
ER,11,19,ERS11E19,28/04/2005
ER,11,20,ERS11E20,05/05/2005
ER,11,21,ERS11E21,12/05/2005
ER,12,2,ERS12E02,29/09/2005
ER,12,5,ERS12E05,20/10/2005
ER,12,9,ERS12E09,01/12/2005
ER,12,10,ERS12E10,08/12/2005
ER,12,12,ERS12E12,12/01/2006
ER,12,14,ERS12E14,09/02/2006
ER,12,15,ERS12E15,02/03/2006
ER,12,17,ERS12E17,23/03/2006
ER,12,18,ERS12E18,30/03/2006
ER,12,19,ERS12E19,27/04/2006
ER,12,20,ERS12E20,04/05/2006
ER,13,3,ERS13E03,05/10/2006
ER,13,4,ERS13E04,12/10/2006
ER,13,5,ERS13E05,19/10/2006
ER,13,6,ERS13E06,02/11/2006
ER,13,7,ERS13E07,09/11/2006
ER,13,10,ERS13E10,30/11/2006
ER,13,12,ERS13E12,04/01/2007
ER,13,15,ERS13E15,08/02/2007
ER,13,17,ERS13E17,22/02/2007
ER,13,20,ERS13E20,26/04/2007
ER,13,23,ERS13E23,17/05/2007
ER,14,2,ERS14E02,04/10/2007
ER,14,7,ERS14E07,08/11/2007
ER,14,8,ERS14E08,15/11/2007
ER,14,9,ERS14E09,29/11/2007
ER,14,10,ERS14E10,06/12/2007
ER,14,11,ERS14E11,03/01/2008
ER,14,18,ERS14E18,08/05/2008
ER,14,19,ERS14E19,15/05/2008
ER,15,1,ERS15E01,25/09/2008
ER,15,10,ERS15E10,11/12/2008
ER,15,11,ERS15E11,08/01/2009
ER,15,16,ERS15E16,19/02/2009
ER,15,17,ERS15E17,26/02/2009
ER,15,19,ERS15E19,12/03/2009
ER,15,20,ERS15E20,19/03/2009
ER,15,21,ERS15E21,26/03/2009
GA,1,2,GAS01E02,03/04/2005
GA,2,2,GAS02E02,02/10/2005
GA,2,5,GAS02E05,23/10/2005
GA,2,9,GAS02E09,20/11/2005
GA,3,2,GAS03E02,28/09/2006
GA,4,4,GAS04E04,18/10/2007
GA,4,6,GAS04E06,01/11/2007
GA,4,9,GAS04E09,22/11/2007
GA,4,10,GAS04E10,06/12/2007
GA,4,15,GAS04E15,15/05/2008
GA,5,8,GAS05E08,13/11/2008
GA,5,10,GAS05E10,04/12/2008
GA,6,15,GAS06E15,18/02/2010
GA,7,1,GAS07E01,23/09/2010
GA,7,20,GAS07E20,05/05/2011
GA,8,16,GAS08E16,23/02/2012
GA,9,9,GAS09E09,13/12/2012
GA,9,12,GAS09E12,24/01/2013
GA,10,4,GAS10E04,10/10/2013
GA,10,5,GAS10E05,17/10/2013
GA,10,21,GAS10E21,24/04/2014
GA,10,24,GAS10E24,15/05/2014
GA,11,4,GAS11E04,16/10/2014
GA,11,6,GAS11E06,06/11/2014
GA,12,1,GAS12E01,24/09/2015
GA,12,4,GAS12E04,15/10/2015
